,date,title,url,views,views_expand
0,1 week ago,BINO BITISA EYASIMATUKA OKUTIBWA MU CAMPAIGNS ZA BOBI WINE YABUKA MUNTANA NAYE BANE TEBALUTONDA,https://www.youtube.com//watch?v=k4OYPBmo27o,28K views,28000.0
1,1 week ago,EMPOLOGOMA YA BUGANDA EBOGODDE KUNSONGA ZA MAILO LAND KATI ZAABIKE EMIPILA TUKOYE EJOOGO KU TTAKA,https://www.youtube.com//watch?v=6WI90-s6yuI,19K views,19000.0
2,1 week ago,BWIINO OMUKAMBWE KU KIKI EKIDAKO MUSEVENI NE BABI BANE BALI MUKUSATIRA BANAUGANDA BAKOYE EJOOGO 🔥🔥,https://www.youtube.com//watch?v=vtSBERRqZ3g,29K views,29000.0
3,2 weeks ago,ETTAKA LYA  MAILO LAND LIZARIDDE MUSEVENI OBUZIBU ABAGANDA BETEGEFU OKUMURWANYISA,https://www.youtube.com//watch?v=31mBddAbICc,22K views,22000.0
4,2 weeks ago,BANAUGANDA BAWANDA MULIRO MU OPEN ROOF DISCUSSION BAKOYE EJOOGO LYA MUSEVENI NE FAMILY YE,https://www.youtube.com//watch?v=DelWwtgvR3k,11K views,11000.0
5,2 weeks ago,A MUST WATCH HOO!! ABANTU BAKOWU NYOO MU PUBLIC OPEN ROOF DISCUSSION,https://www.youtube.com//watch?v=Q7hz8NBmaIU,12K views,12000.0
6,2 weeks ago,"SHOCKING TRUTH ABOUT MUSEVENI'S DIRTY PLANS AGAINST INDIGENOUS UGANDANS, MOSTLY BAGANDA IN BUGANDA",https://www.youtube.com//watch?v=6bdatfJV7ew,15K views,15000.0
7,3 weeks ago,"IF BAGANDA KNEW IT BEFORE , THEY WILL NOT BE SAFE IN THE UNIFICATION OF UGANDA AS IT IS TODAY",https://www.youtube.com//watch?v=0CPaUa5VARY,13K views,13000.0
8,3 weeks ago,"DIRTY SECRETS BEHIND UNN FUNDED AND CONTROLLED BY RWABWOGO, HENRY TUMUKUNDE, MIWAMBO PAUL.AND OTHERS",https://www.youtube.com//watch?v=vg9CHczgjxg,17K views,17000.0
9,3 weeks ago,EXPOSING MUSEVENI'S PLANS AGAINST UGANDANS IS THE REASON AS TO WHY  POLICE IS HUNTING ME BUT AM OK,https://www.youtube.com//watch?v=FZOSNPgC3ec,24K views,24000.0
10,4 weeks ago,OPEN ROOF PUBLIC DISCUSSION,https://www.youtube.com//watch?v=JiYumf6rg_I,16K views,16000.0
11,1 month ago,SHOCKING NEWS HOW IGP PAUL LOKECH COVERED  UP MUHOOZI KEINARUGABA MURDERS AND GEN KATUMBA MISSION,https://www.youtube.com//watch?v=nd-4mea47_w,21K views,21000.0
12,1 month ago,MUSEVENI I DONT FEAR YOU AM READY TO DEFEND UGANDANS AND STOP INTIMIDATING PEOPLE,https://www.youtube.com//watch?v=zvPILwYSd2Q,26K views,26000.0
13,1 month ago,OBUGANDA BULI MUKUSATIRA ABAGANDA ABABUZA KABAKA JALI MAYIGA AVUMA BAVUME OBUJJOZI BUSUSE EMENGO,https://www.youtube.com//watch?v=pS3Cvfmse6c,21K views,21000.0
